Nome: PRIMAVERA DO LESTE
Codigo Estacao: A923
Latitude: -15.57999999
Longitude: -54.3811111
Altitude: 680
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-25;null;null;null;null;null;null;null;null;null;null;
2017-10-26;0;934,483333;17,1;36,9;27,091667;22,1;57,291667;25;null;null;
2017-10-27;19,8;935,883333;17,829167;31;23,9875;20,1;71,166667;38;null;null;
2017-10-28;0;935,404167;19,1125;32,9;24,770833;21,5;73;40;null;null;
2017-10-29;14,8;935,7;19,721739;29,9;22,465217;20;85,608696;53;null;null;
2017-10-30;2;933,829167;19,533333;32,7;25,383333;20,1;72,125;45;null;null;
2017-10-31;0;934,278261;20,217391;28,8;22,769565;21,8;85,913043;63;null;null;
2017-11-01;13,4;935,513636;19,463636;30,3;23,577273;19,4;79,863636;48;null;null;
2017-11-02;0;935,430435;19,730435;33,4;26,286957;21,3;69,565217;39;null;null;
2017-11-03;0;935,329167;19,7375;33,2;25,375;21,4;72,916667;41;null;null;
2017-11-04;0;934,941667;18,945833;34,8;26,283333;20,6;68,916667;34;null;null;
2017-11-05;0;936,345455;20,059091;31,4;24,481818;22,5;77,272727;53;null;null;
2017-11-06;39,2;936,765217;20,234783;30;23,156522;20,4;84,826087;53;null;null;
2017-11-07;66;935,241667;20,625;31,3;23,4625;19,5;84,916667;52;null;null;
2017-11-08;,2;933,795833;20,508333;27,9;22,7125;20,6;87,875;66;null;null;
2017-11-09;3,2;933,826087;20,043478;31,6;24,395652;19,8;78,913043;49;null;null;
2017-11-10;,2;933,0875;20,295833;31;24;20,5;81;49;null;null;
2017-11-11;40,6;933,520833;20,808333;25,7;22,395833;20;90,916667;78;null;null;
2017-11-12;2,2;934,031818;20,386364;30;24,477273;20,7;79,409091;55;null;null;
2017-11-13;0;934;17,972727;33,3;25,704545;20,9;63,5;42;null;null;
2017-11-14;,4;933,873913;19,33913;33;25,765217;20,4;69,913043;40;null;null;
2017-11-15;3;934,259091;18,913636;33,6;26,986364;21;64,5;35;null;null;
2017-11-16;0;935,320833;18,929167;33,3;24,858333;21;71;40;null;null;
2017-11-17;5;934,475;19,783333;31,1;22,583333;20,1;85,083333;49;null;null;
2017-11-18;9,4;933,45;20,418182;28;22,990909;20,7;86,090909;63;null;null;
2017-11-19;23,8;933,458333;20,05;28;23,108333;19,8;83,75;61;null;null;
2017-11-20;,2;933,972727;20,872727;29,7;23,181818;20,9;87,909091;59;null;null;
2017-11-21;29,6;934,570833;21,091667;28,2;23,2625;20,8;88,375;66;null;null;
2017-11-22;16;934,577273;21,022727;26,3;22,354545;21,2;92,409091;75;null;null;
2017-11-23;23,6;935,078261;21,182609;30,9;24,230435;20,3;84,652174;51;null;null;
2017-11-24;,6;935,775;20,3625;32,4;25,908333;21,3;74,166667;44;null;null;
2017-11-25;8,6;935,979167;21,1;32,5;25,816667;20,8;76,625;45;null;null;
2017-11-26;4;936,013043;20,256522;31;24,013043;19,9;80,217391;56;null;null;
2017-11-27;7,4;936,680952;20,461905;29,5;null;20,2;83,428571;60;null;null;
2017-11-28;,2;937,679167;20,958333;26,1;23,454167;21,3;86,125;72;null;null;
2017-11-29;0;935,46087;19,678261;33,1;25,447826;19,9;72,913043;37;null;null;
2017-11-30;1,6;932,9625;20,666667;30,6;23,266667;21,9;85,958333;58;null;null;
