data,last,max,min,var,price_br,price_us
2021-02-19,5.801,5.801,5.801,0.36,157.66,29.16
2021-02-18,5.78,5.78,5.78,0.82,157.96,29.04
2021-10-02,5.733,5.733,5.733,-1.49,161.66,30.05
2021-09-02,5.82,5.82,5.82,1.22,164.64,30.59
2021-08-02,5.75,5.75,5.75,0.35,163.8,30.49
2021-05-02,5.73,5.73,5.73,2.21,165.29,30.69
2021-04-02,5.606,5.606,5.606,0.56,165.39,30.33
2021-03-02,5.575,5.575,5.575,-1.01,163.39,30.47
2021-02-02,5.632,5.632,5.632,-0.42,165.29,30.85
2021-01-02,5.656,5.656,5.656,0.09,166.63,30.57
2021-01-29,5.651,5.651,5.651,0.04,165.72,30.22
2021-01-28,5.649,5.649,5.649,-0.07,166.35,30.6
2021-01-27,5.653,5.653,5.653,0.04,166.36,30.82
2021-01-26,5.651,5.651,5.651,0.05,165.87,31.13
2021-01-25,5.648,5.648,5.648,-1.36,166.35,30.2
2021-01-22,5.726,5.726,5.726,0.32,166.39,30.41
2021-01-21,5.708,5.708,5.708,0.63,167.15,31.21
2021-01-20,5.672,5.672,5.672,-1.6,166.22,31.25
2021-01-19,5.764,5.764,5.764,1.02,167.89,31.38
2021-01-18,5.706,5.706,5.706,-0.78,167.03,31.56
2021-01-15,5.751,5.751,5.751,-1.19,166.97,31.59
2021-01-14,5.82,5.82,5.82,0.0,166.99,32.09
2021-01-13,5.82,5.82,5.82,-0.14,166.53,31.42
2021-12-01,5.828,5.828,5.828,0.36,165.92,31.11
2021-11-01,5.807,5.807,5.807,0.82,164.28,29.92
2021-08-01,5.76,5.76,5.76,0.19,160.93,29.71
2021-07-01,5.749,5.749,5.749,0.21,159.16,29.55
2021-06-01,5.737,5.737,5.737,0.4,158.46,29.99
2021-05-01,5.714,5.714,5.714,-0.59,155.72,29.59
2021-04-01,5.748,5.748,5.748,-0.23,147.78,28.09
2020-12-30,5.726,5.726,5.726,1.9,144.89,27.94
2020-12-29,5.619,5.619,5.619,-0.44,144.73,27.92
2020-12-28,5.644,5.644,5.644,0.7,141.99,27.1
2020-12-23,5.516,5.516,5.516,0.47,142.13,27.34
2020-12-22,5.49,5.49,5.49,2.37,141.53,27.4
2020-12-21,5.363,5.363,5.363,1.78,141.59,27.63
2020-12-18,5.269,5.269,5.269,-0.25,141.0,27.72
2020-12-17,5.282,5.282,5.282,1.11,142.08,28.0
2020-12-16,5.224,5.224,5.224,-0.76,141.78,27.66
2020-12-15,5.264,5.264,5.264,-2.79,142.02,27.91
2020-12-14,5.415,5.415,5.415,-2.82,141.81,27.75
2020-11-12,5.572,5.572,5.572,0.98,141.23,27.95
2020-10-12,5.518,5.518,5.518,-0.42,144.0,28.59
2020-09-12,5.541,5.541,5.541,0.97,144.86,27.95
2020-08-12,5.488,5.488,5.488,-0.35,145.18,28.31
2020-07-12,5.507,5.507,5.507,-0.29,146.8,28.89
2020-04-12,5.523,5.523,5.523,-1.71,148.37,28.93
2020-03-12,5.619,5.619,5.619,-0.72,152.38,29.66
2020-02-12,5.66,5.66,5.66,0.6,155.26,29.6
2020-01-12,5.626,5.626,5.626,0.07,158.7,30.32
2020-11-30,5.622,5.622,5.622,1.68,159.94,29.88
2020-11-27,5.529,5.529,5.529,1.36,161.1,30.23
2020-11-26,5.455,5.455,5.455,0.72,160.85,30.18
2020-11-25,5.416,5.416,5.416,0.76,162.4,30.54
2020-11-24,5.375,5.375,5.375,0.32,162.3,30.14
2020-11-23,5.358,5.358,5.358,1.82,163.34,30.04
2020-11-20,5.262,5.262,5.262,-1.29,163.98,30.53
2020-11-19,5.331,5.331,5.331,-0.8,164.02,30.88
2020-11-18,5.374,5.374,5.374,0.3,164.4,30.76
2020-11-17,5.358,5.358,5.358,0.28,164.18,30.76
2020-11-16,5.343,5.343,5.343,3.09,165.47,30.46
2020-11-13,5.183,5.183,5.183,-0.08,165.08,30.14
2020-12-11,5.187,5.187,5.187,0.0,164.3,30.06
2020-11-11,5.187,5.187,5.187,0.0,166.03,30.67
2020-10-11,5.187,5.187,5.187,0.6,165.6,30.79
2020-09-11,5.156,5.156,5.156,-1.98,164.91,30.46
2020-06-11,5.26,5.26,5.26,1.68,168.72,31.31
2020-05-11,5.173,5.173,5.173,0.84,168.77,30.43
2020-04-11,5.13,5.13,5.13,0.43,168.25,29.72
2020-03-11,5.108,5.108,5.108,1.25,167.4,29.11
2020-10-30,5.019,5.019,5.019,1.87,165.97,28.88
2020-10-29,4.927,4.927,4.927,0.45,165.82,28.83
2020-10-28,4.905,4.905,4.905,1.41,166.1,28.92
2020-10-27,4.837,4.837,4.837,0.62,165.51,29.17
2020-10-26,4.807,4.807,4.807,1.16,164.78,29.29
2020-10-23,4.752,4.752,4.752,0.87,164.5,29.23
2020-10-22,4.711,4.711,4.711,-2.26,164.33,29.36
2020-10-21,4.82,4.82,4.82,-2.11,162.96,29.06
2020-10-20,4.924,4.924,4.924,2.8,160.44,28.66
2020-10-19,4.79,4.79,4.79,3.5,159.84,28.52
2020-10-16,4.628,4.628,4.628,2.53,157.8,27.95
2020-10-15,4.514,4.514,4.514,0.18,156.62,27.91
2020-10-14,4.506,4.506,4.506,0.02,155.15,27.69
2020-10-13,4.505,4.505,4.505,-0.49,154.81,27.77
2020-09-10,4.454,4.454,4.454,1.92,153.53,27.75
2020-09-30,4.37,4.37,4.37,-0.46,146.23,26.03
2020-09-29,4.39,4.39,4.39,-1.92,144.66,25.67
2020-09-28,4.476,4.476,4.476,-0.13,144.83,25.7
2020-09-25,4.482,4.482,4.482,0.18,143.72,25.92
2020-09-24,4.474,4.474,4.474,0.81,144.88,26.27
2020-09-23,4.438,4.438,4.438,-1.62,143.56,25.74
2020-09-22,4.511,4.511,4.511,-1.16,140.92,25.79
2020-09-21,4.564,4.564,4.564,-0.41,140.34,25.98
2020-09-18,4.583,4.583,4.583,0.39,138.04,25.72
2020-09-17,4.565,4.565,4.565,0.82,136.85,26.13
2020-09-16,4.528,4.528,4.528,0.11,135.48,25.86
2020-09-15,4.523,4.523,4.523,-3.75,133.69,25.29
2020-09-14,4.699,4.699,4.699,1.12,133.76,25.35
2020-11-09,4.647,4.647,4.647,-0.49,131.94,24.74
2020-10-09,4.67,4.67,4.67,-0.74,130.7,24.59
