data,preco_br,yesterday,yesterday_dif,yesterday_1,last_week,last_year,last_month
1999-01-18,14.39,13.91,0.019999999999999574,13.89,19.83,18.1,14.88
1999-01-19,15.13,14.39,0.4800000000000004,13.91,21.1,19.09,17.86
1999-01-20,15.62,15.13,0.7400000000000002,14.39,21.46,19.24,15.83
1999-01-21,16.97,15.62,0.48999999999999844,15.13,20.56,20.85,14.54
1999-01-22,17.16,16.97,1.3499999999999996,15.62,13.86,19.21,14.58
1999-01-26,18.82,17.16,0.19000000000000128,16.97,13.89,19.16,13.76
1999-01-27,19.31,18.82,1.6600000000000001,17.16,13.91,20.87,13.6
1999-01-28,19.47,19.31,0.48999999999999844,18.82,14.39,19.29,15.05
1999-01-29,19.9,19.47,0.16000000000000014,19.31,15.13,19.13,14.62
1999-02-02,18.22,19.9,0.4299999999999997,19.47,15.62,19.4,14.48
1999-02-03,18.13,18.22,-1.6799999999999997,19.9,16.97,20.68,14.45
1999-02-06,16.22,18.13,-0.08999999999999986,18.22,17.16,18.23,14.38
1999-02-07,16.05,16.22,-1.9100000000000001,18.13,18.82,19.32,14.31
1999-02-08,17.3,16.05,-0.16999999999999815,16.22,19.31,19.49,14.29
1999-02-09,20.01,17.3,1.25,16.05,19.47,20.63,14.28
1999-02-12,20.57,20.01,2.710000000000001,17.3,19.9,18.16,14.25
1999-02-17,18.3,20.57,0.5599999999999987,20.01,18.22,19.37,14.21
1999-02-18,18.22,18.3,-2.2699999999999996,20.57,18.13,19.52,14.16
1999-02-19,18.07,18.22,-0.08000000000000185,18.3,16.22,20.56,14.15
1999-02-22,17.83,18.07,-0.14999999999999858,18.22,16.05,18.15,19.31
1999-02-23,18.09,17.83,-0.240000000000002,18.07,17.3,18.97,17.92
1999-02-24,17.71,18.09,0.26000000000000156,17.83,20.01,19.62,16.04
1999-02-25,17.7,17.71,-0.379999999999999,18.09,20.57,18.07,16.27
1999-02-26,17.72,17.7,-0.010000000000001563,17.71,18.3,18.86,19.83
1999-03-02,18.46,17.72,0.019999999999999574,17.7,18.22,19.67,21.1
1999-03-03,18.51,18.46,0.740000000000002,17.72,18.07,18.04,21.46
1999-03-05,15.77,18.51,0.05000000000000071,18.46,17.83,17.97,20.56
1999-03-08,17.83,15.77,-2.740000000000002,18.51,18.09,18.17,13.86
1999-03-09,20.3,17.83,2.0599999999999987,15.77,17.71,18.05,13.89
1999-03-11,21.3,20.3,2.4700000000000024,17.83,17.7,19.46,13.91
1999-03-12,20.52,21.3,1.0,20.3,17.72,18.72,14.39
1999-03-15,16.76,20.52,-0.7800000000000011,21.3,18.46,20.59,15.13
1999-03-16,16.85,16.76,-3.759999999999998,20.52,18.51,18.0,15.62
1999-03-17,17.24,16.85,0.08999999999999986,16.76,15.77,18.07,16.97
1999-03-18,17.19,17.24,0.389999999999997,16.85,17.83,18.15,17.16
1999-03-19,17.28,17.19,-0.04999999999999716,17.24,20.3,18.17,18.82
1999-03-22,17.59,17.28,0.08999999999999986,17.19,21.3,18.25,19.31
1999-03-23,17.72,17.59,0.3099999999999987,17.28,20.52,18.24,19.47
1999-03-24,17.61,17.72,0.129999999999999,17.59,16.76,18.35,19.9
1999-03-25,17.39,17.61,-0.10999999999999943,17.72,16.85,18.48,18.22
1999-03-26,17.32,17.39,-0.21999999999999886,17.61,17.24,18.53,18.13
1999-03-29,16.95,17.32,-0.07000000000000028,17.39,17.19,18.64,16.22
1999-03-30,16.75,16.95,-0.370000000000001,17.32,17.28,18.77,16.05
1999-03-31,16.15,16.75,-0.1999999999999993,16.95,17.59,18.99,17.3
1999-04-01,14.14,16.15,-0.6000000000000014,16.75,17.72,19.54,20.01
1999-04-02,18.36,14.14,-2.009999999999998,16.15,17.61,18.62,20.57
1999-04-03,18.31,18.36,4.219999999999999,14.14,17.39,20.61,18.3
1999-04-05,16.09,18.31,-0.05000000000000071,18.36,17.32,19.61,18.22
1999-04-06,16.3,16.09,-2.219999999999999,18.31,16.95,19.5,18.07
1999-04-08,18.19,16.3,0.21000000000000085,16.09,16.75,19.59,17.83
1999-04-10,21.03,18.19,1.8900000000000006,16.3,16.15,19.63,18.09
1999-04-11,21.08,21.03,2.84,18.19,14.14,19.66,17.71
1999-04-13,15.49,21.08,0.04999999999999716,21.03,18.36,19.62,17.7
1999-04-14,15.6,15.49,-5.589999999999998,21.08,18.31,19.59,17.72
1999-04-15,15.54,15.6,0.10999999999999943,15.49,16.09,19.56,18.46
1999-04-16,15.57,15.54,-0.0600000000000005,15.6,16.3,19.5,18.51
1999-04-19,15.6,15.57,0.030000000000001137,15.54,18.19,19.46,15.77
1999-04-20,16.01,15.6,0.02999999999999936,15.57,21.03,19.4,17.83
1999-04-22,15.85,16.01,0.4100000000000019,15.6,21.08,19.36,20.3
1999-04-23,15.79,15.85,-0.16000000000000192,16.01,15.49,19.6,21.3
1999-04-26,15.76,15.79,-0.0600000000000005,15.85,15.6,18.65,20.52
1999-04-27,16.09,15.76,-0.02999999999999936,15.79,15.54,19.9,16.76
1999-04-28,16.04,16.09,0.33000000000000007,15.76,15.57,20.6,16.85
1999-04-29,15.91,16.04,-0.05000000000000071,16.09,15.6,18.71,17.24
1999-04-30,15.88,15.91,-0.129999999999999,16.04,16.01,18.75,17.19
1999-05-01,14.05,15.88,-0.02999999999999936,15.91,15.85,18.8,17.28
1999-05-02,18.54,14.05,-1.83,15.88,15.79,18.76,17.59
1999-05-03,17.3,18.54,4.489999999999998,14.05,15.76,18.73,17.72
