data;preco_br;preco_us
29/07/1997;18,04;16,66
30/07/1997;17,97;16,59
31/07/1997;18,17;16,78
01/08/1997;18,1;16,71
04/08/1997;18,23;16,83
05/08/1997;18,16;16,75
06/08/1997;18,15;16,74
07/08/1997;18,07;16,67
08/08/1997;18,05;16,62
11/08/1997;17,85;16,44
12/08/1997;17,99;16,57
13/08/1997;18;16,57
14/08/1997;18,07;16,64
15/08/1997;18,15;16,7
18/08/1997;18,17;16,69
19/08/1997;18,25;16,75
20/08/1997;18,24;16,76
22/08/1997;18,35;16,82
25/08/1997;18,48;16,93
26/08/1997;18,53;16,96
27/08/1997;18,64;17,07
28/08/1997;18,77;17,19
29/08/1997;18,99;17,39
01/09/1997;19,09;17,49
02/09/1997;19,21;17,59
03/09/1997;19,29;17,66
04/09/1997;19,32;17,69
05/09/1997;19,37;17,75
08/09/1997;19,46;17,83
09/09/1997;19,54;17,91
10/09/1997;19,6;17,96
11/09/1997;19,61;17,97
12/09/1997;19,64;17,98
15/09/1997;19,61;17,96
16/09/1997;19,5;17,85
17/09/1997;19,59;17,92
18/09/1997;19,63;17,94
19/09/1997;19,66;17,97
22/09/1997;19,62;17,93
23/09/1997;19,59;17,89
24/09/1997;19,56;17,86
25/09/1997;19,5;17,81
26/09/1997;19,46;17,76
29/09/1997;19,4;17,7
30/09/1997;19,36;17,66
01/10/1997;19,24;17,54
02/10/1997;19,16;17,47
03/10/1997;19,13;17,44
06/10/1997;18,97;17,29
07/10/1997;18,86;17,18
08/10/1997;18,72;17,06
09/10/1997;18,62;16,96
10/10/1997;18,65;16,98
13/10/1997;18,71;17,03
14/10/1997;18,75;17,07
15/10/1997;18,8;17,11
16/10/1997;18,76;17,07
17/10/1997;18,73;17,04
20/10/1997;18,74;17,04
21/10/1997;18,84;17,13
22/10/1997;18,91;17,18
23/10/1997;19,04;17,3
24/10/1997;19,16;17,41
27/10/1997;19,21;17,39
28/10/1997;19,27;17,5
29/10/1997;19,29;17,51
30/10/1997;19,32;17,46
31/10/1997;19,33;17,53
03/11/1997;19,4;17,6
04/11/1997;19,49;17,66
05/11/1997;19,52;17,69
06/11/1997;19,62;17,73
07/11/1997;19,67;17,78
10/11/1997;19,9;18
11/11/1997;19,95;18,06
12/11/1997;20,01;18,09
13/11/1997;20,12;18,16
14/11/1997;20,21;18,26
17/11/1997;20,28;18,34
18/11/1997;20,44;18,49
19/11/1997;20,49;18,5
20/11/1997;20,55;18,51
21/11/1997;20,64;18,61
24/11/1997;20,71;18,68
25/11/1997;20,74;18,68
26/11/1997;20,87;18,79
27/11/1997;20,84;18,81
28/11/1997;20,86;18,81
01/12/1997;20,85;18,8
02/12/1997;20,87;18,82
03/12/1997;20,68;18,63
04/12/1997;20,63;18,58
05/12/1997;20,56;18,52
08/12/1997;20,59;18,52
09/12/1997;20,61;18,55
10/12/1997;20,6;18,49
11/12/1997;20,4;18,3
12/12/1997;20,2;18,09
15/12/1997;19,99;17,96
16/12/1997;19,85;17,83
17/12/1997;19,69;17,68
18/12/1997;19,52;17,53
19/12/1997;19,38;17,4
22/12/1997;19,2;17,22
23/12/1997;19,13;17,17
26/12/1997;19,08;17,11
29/12/1997;18,89;16,95
30/12/1997;18,76;16,8
02/01/1998;18,75;16,8
05/01/1998;18,67;16,73
06/01/1998;18,55;16,62
07/01/1998;18,45;16,52
08/01/1998;18,2;16,25
09/01/1998;18,07;16,17
12/01/1998;17,86;15,96
13/01/1998;17,44;15,6
14/01/1998;17,33;15,47
15/01/1998;17,02;15,18
16/01/1998;16,75;14,94
19/01/1998;16,55;14,79
20/01/1998;16,41;14,65
21/01/1998;16,33;14,57
22/01/1998;16,25;14,51
23/01/1998;16,3;14,54
26/01/1998;16,32;14,56
27/01/1998;16,33;14,55
28/01/1998;16,31;14,53
29/01/1998;16,18;14,4
30/01/1998;16,13;14,36
02/02/1998;16,12;14,35
03/02/1998;16,18;14,4
04/02/1998;16,19;14,41
05/02/1998;16,29;14,49
06/02/1998;16,34;14,52
09/02/1998;16,26;14,46
10/02/1998;16,25;14,43
11/02/1998;16,18;14,37
12/02/1998;15,83;14,06
13/02/1998;15,58;13,82
16/02/1998;15,44;13,7
17/02/1998;15,37;13,62
18/02/1998;15,19;13,47
19/02/1998;15,08;13,36
20/02/1998;15,03;13,31
25/02/1998;14,77;13,07
26/02/1998;14,66;12,98
27/02/1998;14,37;12,72
02/03/1998;14,4;12,74
03/03/1998;14,37;12,71
04/03/1998;14,3;12,64
05/03/1998;14,22;12,57
06/03/1998;14,27;12,62
09/03/1998;14,41;12,73
10/03/1998;14,46;12,77
11/03/1998;14,62;12,91
12/03/1998;14,54;12,84
13/03/1998;14,48;12,78
16/03/1998;14,4;12,71
17/03/1998;14,54;12,84
18/03/1998;14,59;12,87
19/03/1998;14,6;12,87
20/03/1998;14,44;12,73
23/03/1998;14,43;12,73
24/03/1998;14,64;12,9
25/03/1998;14,61;12,87
26/03/1998;14,55;12,82
27/03/1998;14,34;12,63
30/03/1998;14,32;12,61
31/03/1998;14,18;12,47
01/04/1998;14,15;12,45
02/04/1998;14,22;12,5
03/04/1998;14,09;12,38
06/04/1998;13,82;12,13
07/04/1998;13,88;12,2
08/04/1998;13,87;12,17
13/04/1998;13,78;12,1
14/04/1998;13,95;12,23
15/04/1998;14,1;12,37
16/04/1998;14,16;12,41
17/04/1998;14,26;12,5
20/04/1998;14,2;12,44
22/04/1998;14,15;12,39
23/04/1998;14,28;12,49
24/04/1998;14,41;12,61
