"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.02.2021","5.799,00","5.850,00","5.899,00","5.783,00","0,05K","-0,03%"
"19.02.2021","5.801,00","5.869,00","5.869,00","5.735,00","0,05K","0,36%"
"18.02.2021","5.780,00","5.800,00","5.800,00","5.708,00","0,07K","0,82%"
"10.02.2021","5.733,00","5.875,00","5.875,00","5.720,00","0,47K","-1,49%"
"09.02.2021","5.820,00","5.795,00","5.840,00","5.743,00","0,96K","1,22%"
"08.02.2021","5.750,00","5.743,00","5.789,00","5.726,00","0,22K","0,35%"
"05.02.2021","5.730,00","5.645,00","5.791,00","5.643,00","1,38K","2,21%"
"04.02.2021","5.606,00","5.612,00","5.643,00","5.547,00","0,43K","0,56%"
"03.02.2021","5.575,00","5.590,00","5.644,00","5.530,00","0,87K","-1,01%"
"02.02.2021","5.632,00","5.638,00","5.689,00","5.598,00","2,07K","-0,42%"
"01.02.2021","5.656,00","5.683,00","5.732,00","5.614,00","2,28K","0,09%"
"29.01.2021","5.651,00","5.649,00","5.728,00","5.577,00","11,75K","0,04%"
"28.01.2021","5.649,00","5.685,00","5.718,00","5.564,00","8,72K","-0,07%"
"27.01.2021","5.653,00","5.651,00","5.687,00","5.620,00","7,21K","0,04%"
"26.01.2021","5.651,00","5.643,00","5.687,00","5.619,00","8,06K","0,05%"
"25.01.2021","5.648,00","5.687,00","5.692,00","5.612,00","13,95K","-1,36%"
"22.01.2021","5.726,00","5.770,00","5.777,00","5.685,00","10,40K","0,32%"
"21.01.2021","5.708,00","5.625,00","5.772,00","5.620,00","10,21K","0,63%"
"20.01.2021","5.672,00","5.793,00","5.793,00","5.589,00","9,29K","-1,60%"
"19.01.2021","5.764,00","5.725,00","5.800,00","5.725,00","7,92K","1,02%"
"18.01.2021","5.706,00","5.655,00","5.752,00","5.609,00","8,14K","-0,78%"
"15.01.2021","5.751,00","5.787,00","5.787,00","5.787,00","0,00K","-1,19%"
"14.01.2021","5.820,00","5.820,00","5.820,00","5.820,00","-","0,00%"
"13.01.2021","5.820,00","5.820,00","5.820,00","5.820,00","0,01K","-0,14%"
"12.01.2021","5.828,00","5.828,00","5.828,00","5.828,00","-","0,36%"
"11.01.2021","5.807,00","5.800,00","5.853,00","5.800,00","0,12K","0,82%"
"08.01.2021","5.760,00","5.760,00","5.840,00","5.750,00","0,26K","0,19%"
"07.01.2021","5.749,00","5.747,00","5.760,00","5.736,00","0,41K","0,21%"
"06.01.2021","5.737,00","5.714,00","5.767,00","5.714,00","0,30K","0,40%"
"05.01.2021","5.714,00","5.720,00","5.750,00","5.687,00","0,09K","-0,59%"
"04.01.2021","5.748,00","5.723,00","5.792,00","5.699,00","0,39K","-0,23%"
"31.12.2020","5.761,00","5.734,00","5.800,00","5.677,00","2,77K","0,61%"
"30.12.2020","5.726,00","5.653,00","5.775,00","5.649,00","3,76K","1,90%"
"29.12.2020","5.619,00","5.625,00","5.678,00","5.572,00","2,28K","-0,44%"
"28.12.2020","5.644,00","5.676,00","5.676,00","5.600,00","4,33K","0,70%"
"25.12.2020","5.605,00","5.577,00","5.638,00","5.572,00","5,48K","0,66%"
"24.12.2020","5.568,00","5.545,00","5.644,00","5.519,00","10,73K","0,94%"
"23.12.2020","5.516,00","5.535,00","5.570,00","5.488,00","9,91K","0,47%"
"22.12.2020","5.490,00","5.405,00","5.553,00","5.396,00","19,08K","2,37%"
"21.12.2020","5.363,00","5.263,00","5.461,00","5.253,00","36,45K","1,78%"
