data;preco_br;;;;
29/07/1997;18,04;;;;
30/07/1997;17,97;;;;
31/07/1997;18,17;;;;
01/08/1997;18,1;;;;
04/08/1997;18,23;;;;
05/08/1997;18,16;;;;
06/08/1997;18,15;;;;
07/08/1997;18,07;;;;
08/08/1997;18,05;;;;
11/08/1997;17,85;;;;
12/08/1997;17,99;;;;
13/08/1997;18;;;;
14/08/1997;18,07;;;;
15/08/1997;18,15;;;;
18/08/1997;18,17;;;;
19/08/1997;18,25;;;;
20/08/1997;18,24;;;;
22/08/1997;18,35;;;;
25/08/1997;18,48;;;;
26/08/1997;18,53;;;;
27/08/1997;18,64;;;;
28/08/1997;18,77;;;;
29/08/1997;18,99;;;;
01/09/1997;19,09;;;;
02/09/1997;19,21;;;;
03/09/1997;19,29;;;;
04/09/1997;19,32;;;;
05/09/1997;19,37;;;;
08/09/1997;19,46;;;;
09/09/1997;19,54;;;;
10/09/1997;19,6;;;;
11/09/1997;19,61;;;;
12/09/1997;19,64;;;;
15/09/1997;19,61;;;;
16/09/1997;19,5;;;;
17/09/1997;19,59;;;;
18/09/1997;19,63;;;;
19/09/1997;19,66;;;;
22/09/1997;19,62;;;;
23/09/1997;19,59;;;;
24/09/1997;19,56;;;;
25/09/1997;19,5;;;;
26/09/1997;19,46;;;;
29/09/1997;19,4;;;;
30/09/1997;19,36;;;;
01/10/1997;19,24;;;;
02/10/1997;19,16;;;;
03/10/1997;19,13;;;;
06/10/1997;18,97;;;;
07/10/1997;18,86;;;;
08/10/1997;18,72;;;;
09/10/1997;18,62;;;;
10/10/1997;18,65;;;;
13/10/1997;18,71;;;;
14/10/1997;18,75;;;;
15/10/1997;18,8;;;;
16/10/1997;18,76;;;;
17/10/1997;18,73;;;;
20/10/1997;18,74;;;;
21/10/1997;18,84;;;;
22/10/1997;18,91;;;;
23/10/1997;19,04;;;;
24/10/1997;19,16;;;;
27/10/1997;19,21;;;;
28/10/1997;19,27;;;;
29/10/1997;19,29;;;;
30/10/1997;19,32;;;;
31/10/1997;19,33;;;;
