data,preco_br
1997-07-31,18.04
1997-08-01,17.97
1997-08-04,18.17
1997-08-05,18.10
1997-08-06,18.23
1997-08-07,18.16
1997-08-08,18.15
1997-08-11,18.07
1997-08-12,18.05
1997-08-13,17.85
1997-08-14,17.99
1997-08-15,18.00
1997-08-18,18.07
1997-08-19,18.15
1997-08-20,18.17
1997-08-22,18.25
1997-08-25,18.24
1997-08-26,18.35
1997-08-27,18.48
1997-08-28,18.53
1997-08-29,18.64
1997-09-01,18.77
1997-09-02,18.99
1997-09-03,19.09
1997-09-04,19.21
1997-09-05,19.29
1997-09-08,19.32
1997-09-09,19.37
1997-09-10,19.46
1997-09-11,19.54
1997-09-12,19.60
1997-09-15,19.61
1997-09-16,19.64
1997-09-17,19.61
1997-09-18,19.50
1997-09-19,19.59
1997-09-22,19.63
1997-09-23,19.66
1997-09-24,19.62
1997-09-25,19.59
1997-09-26,19.56
1997-09-29,19.50
1997-09-30,19.46
1997-10-01,19.40
1997-10-02,19.36
1997-10-03,19.24
1997-10-06,19.16
1997-10-07,19.13
1997-10-08,18.97
1997-10-09,18.86
1997-10-10,18.72
1997-10-13,18.62
1997-10-14,18.65
1997-10-15,18.71
1997-10-16,18.75
1997-10-17,18.80
1997-10-20,18.76
1997-10-21,18.73
1997-10-22,18.74
1997-10-23,18.84
1997-10-24,18.91
1997-10-27,19.04
1997-10-28,19.16
1997-10-29,19.21
1997-10-30,19.27
1997-10-31,19.29
1997-11-03,19.32
1997-11-04,19.33
1997-11-05,19.40
1997-11-06,19.49
1997-11-07,19.52
1997-11-10,19.62
1997-11-11,19.67
1997-11-12,19.90
1997-11-13,19.95
1997-11-14,20.01
1997-11-17,20.12
1997-11-18,20.21
1997-11-19,20.28
1997-11-20,20.44
1997-11-21,20.49
1997-11-24,20.55
1997-11-25,20.64
1997-11-26,20.71
1997-11-27,20.74
1997-11-28,20.87
1997-12-01,20.84
1997-12-02,20.86
1997-12-03,20.85
1997-12-04,20.87
1997-12-05,20.68
1997-12-08,20.63
1997-12-09,20.56
1997-12-10,20.59
1997-12-11,20.61
1997-12-12,20.60
1997-12-15,20.40
1997-12-16,20.20
1997-12-17,19.99
1997-12-18,19.85
1997-12-19,19.69
1997-12-22,19.52
1997-12-23,19.38
1997-12-26,19.20
1997-12-29,19.13
1997-12-30,19.08
1998-01-02,18.89
1998-01-05,18.76
1998-01-06,18.75
1998-01-07,18.67
1998-01-08,18.55
1998-01-09,18.45
1998-01-12,18.20
1998-01-13,18.07
1998-01-14,17.86
1998-01-15,17.44
1998-01-16,17.33
1998-01-19,17.02
1998-01-20,16.75
1998-01-21,16.55
1998-01-22,16.41
1998-01-23,16.33
1998-01-26,16.25
1998-01-27,16.30
1998-01-28,16.32
1998-01-29,16.33
1998-01-30,16.31
1998-02-02,16.18
1998-02-03,16.13
1998-02-04,16.12
1998-02-05,16.18
1998-02-06,16.19
1998-02-09,16.29
1998-02-10,16.34
1998-02-11,16.26
1998-02-12,16.25
1998-02-13,16.18
1998-02-16,15.83
1998-02-17,15.58
1998-02-18,15.44
1998-02-19,15.37
1998-02-20,15.19
1998-02-25,15.08
1998-02-26,15.03
1998-02-27,14.77
1998-03-02,14.66
1998-03-03,14.37
1998-03-04,14.40
1998-03-05,14.37
1998-03-06,14.30
1998-03-09,14.22
1998-03-10,14.27
1998-03-11,14.41
1998-03-12,14.46
1998-03-13,14.62
1998-03-16,14.54
1998-03-17,14.48
1998-03-18,14.40
1998-03-19,14.54
1998-03-20,14.59
1998-03-23,14.60
1998-03-24,14.44
1998-03-25,14.43
1998-03-26,14.64
1998-03-27,14.61
1998-03-30,14.55
1998-03-31,14.34
1998-04-01,14.32
1998-04-02,14.18
1998-04-03,14.15
1998-04-06,14.22
1998-04-07,14.09
1998-04-08,13.82
1998-04-13,13.88
1998-04-14,13.87
1998-04-15,13.78
1998-04-16,13.95
1998-04-17,14.10
1998-04-20,14.16
1998-04-22,14.26
1998-04-23,14.20
1998-04-24,14.15
1998-04-27,14.28
1998-04-28,14.41
1998-04-29,14.47
1998-04-30,14.51
1998-05-04,14.52
1998-05-05,14.50
1998-05-06,14.57
1998-05-07,14.59
1998-05-08,14.68
1998-05-11,14.73
1998-05-12,14.69
1998-05-13,14.53
1998-05-14,14.58
1998-05-15,14.78
1998-05-18,14.79
1998-05-19,14.76
1998-05-20,14.79
1998-05-21,14.63
1998-05-22,14.61
1998-05-25,14.63
1998-05-26,14.63
1998-05-27,14.61
1998-05-28,14.48
1998-05-29,14.33
1998-06-01,14.39
1998-06-02,14.41
1998-06-03,14.29
1998-06-04,14.25
1998-06-05,14.23
1998-06-08,14.16
